country,country_code_x,region,income_level,capital_city,latitude,longitude,country_code_y,inflation_year,inflation_annual_pct,cost_living_index,rent_index,groceries_index,restaurants_index,purchasing_power_index,bread_price_usd,transport_oneway_usd,transport_monthly_pass_usd,rent_monthly_usd,utilities_monthly_usd
Thailand,,East Asia & Pacific,Upper middle income,Bangkok,13.7308,100.521,THA,2024.0,0.398333333333422,55.2,18.2,52.4,53.2,72.8,,,,350.0,
Tajikistan,,Europe & Central Asia,Lower middle income,Dushanbe,38.5878,68.7864,,,,,,,,,,,,,
Turkmenistan,,Europe & Central Asia,Upper middle income,Ashgabat,37.9509,58.3794,,,,,,,,,,,,,
Timor-Leste,,East Asia & Pacific,Lower middle income,Dili,-8.56667,125.567,TLS,2024.0,2.06284153005468,,,,,,,,,,
Tonga,,East Asia & Pacific,Upper middle income,Nuku'alofa,-21.136,-175.216,TON,2024.0,3.18188924237472,,,,,,,,,,
Trinidad and Tobago,,Latin America & Caribbean ,High income,Port-of-Spain,10.6596,-61.4789,TTO,2024.0,0.526884625776839,,,,,,,,,,
Tunisia,,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,Tunis,36.7899,10.21,TUN,2024.0,7.20661657168794,,,,,,,,,,
Turkiye,,Europe & Central Asia,Upper middle income,Ankara,39.7153,32.3606,TUR,2024.0,58.5064507300342,,,,,,,,,,
Tuvalu,,East Asia & Pacific,Upper middle income,Funafuti,-8.6314877,179.089567,,,,,,,,,,,,,
Tanzania,,Sub-Saharan Africa ,Lower middle income,Dodoma,-6.17486,35.7382,TZA,2024.0,3.05694676312373,,,,,,,,,,
Uganda,,Sub-Saharan Africa ,Low income,Kampala,0.314269,32.5729,UGA,2024.0,3.32338033691819,,,,,,,,,,
Ukraine,,Europe & Central Asia,Upper middle income,Kiev,50.4536,30.5038,UKR,2024.0,6.50198464669254,,,,,,,,,,
Uruguay,,Latin America & Caribbean ,High income,Montevideo,-34.8941,-56.0675,URY,2024.0,4.84914366613156,,,,,,,,,,
United States,,North America,High income,Washington D.C.,38.8895,-77.032,USA,2024.0,2.94952520485207,74.3,35.2,68.5,70.2,100.0,3.65,,,1603.0,150.0
Uzbekistan,,Europe & Central Asia,Lower middle income,Tashkent,41.3052,69.269,UZB,2024.0,9.62825465956682,,,,,,0.4,,,,
St. Vincent and the Grenadines,,Latin America & Caribbean ,Upper middle income,Kingstown,13.2035,-61.2653,VCT,2024.0,3.62770736940927,,,,,,,,,,
